#mB	mV	mR	mI	logTe	Mass	Distancia (kpc)
1.4331897183773625	0.5580085558686925	0.236285729519512	-0.10671427048048798	3.7514	1.263	2.92588428209669
3.0595334770471787	2.2220569945945146	1.7802723579379247	1.4202723579379244	3.7411	0.972	3.0231136316952294
1.5784874525492043	0.7649784391543344	0.5124624580348369	0.19746245803483653	3.7681	1.227	2.8398309732490326
3.539626001316087	2.620064094305114	2.254651732278049	1.8886517322780492	3.7372	0.98	3.1676000887064553
3.2617552481762164	2.500332203559779	1.9753575726734898	1.60935757267349	3.7373	0.9540000000000001	3.082275927966748
2.830607225959783	1.9223344348327815	1.6554568401543968	1.3194568401543973	3.7555	1.05	2.96955496340312
4.267642135464625	3.249098349933501	2.761535377698812	2.346535377698812	3.7089	0.8909999999999999	3.026265839382769
2.5926661186352797	1.8062566307792833	1.4508772557946399	1.1208772557946398	3.7595	1.07	2.861379432661158
3.2778215926696603	2.4691640487406605	1.9566295442459225	1.585629544245922	3.7338	0.94	2.903527267032664
3.136058567119626	2.321364454436086	1.8567923866962888	1.4947923866962887	3.7396	0.965	3.0419948700910466
3.6260303618057215	2.7443768397092914	2.2619416082582005	1.8789416082582004	3.7269	0.917	3.050621464316071
3.1934739352434303	2.33447141138066	1.943742784348137	1.5917427843481367	3.7454	1.01	3.0029531512460115
2.490826682486313	1.7685520330724334	1.2790432573226802	0.9290432573226797	3.7473	1.02	2.943124618315561
3.9663370957655815	2.9531963965511006	2.540493430334224	2.139493430334224	3.7169	0.915	2.947804558178669
2.014474061293974	1.2515568313097098	0.9341240016701686	0.6201240016701686	3.7687	1.169	2.917593618076005
0.25725575433757975	-1.0015530229503593	-1.586791652719695	-2.1207916527196953	3.6561	1.3119999999999998	3.063667781762498
2.779632742173143	1.9428898088781317	1.6302065751154124	1.2982065751154117	3.7583	1.064	3.0538050927425435
3.0997224120071465	2.309015417269171	1.8406897471972918	1.4796897471972912	3.7404	0.9690000000000001	3.068583527994011
3.035442633339766	2.1418506537361512	1.842894570735158	1.4988945707351586	3.7502	1.028	3.03095099136779
2.964434851803672	2.1259531006407713	1.7540019014332806	1.40900190143328	3.7498	1.026	2.896012154721593
2.6751938199137264	1.913258145537684	1.4444701963363453	1.092470196336345	3.7456	0.998	2.878021535101397
2.8417989560589847	2.0166017470388793	1.6691386875104115	1.3311386875104114	3.7539	1.043	2.9283820593865446
2.5178680764467636	1.7315277565317118	1.4161637148022699	1.0931637148022713	3.7634	1.092	2.995247697304006
2.6290932043861712	1.8056290246158184	1.5119644490073956	1.1869644490073945	3.7621	1.084	3.0647347296214806
3.3723526122313245	2.5181533856134006	2.033106451713026	1.6561064517130255	3.7306	0.929	2.877539476393662
2.0601465116206885	1.2533151062132895	0.9883939480688815	0.6733939480688811	3.7681	1.173	3.0149408045950103
2.40644174179144	1.6153532450489658	1.1134998466346229	0.741499846634623	3.7342	1.053	3.176142428250298
2.0368267319050366	0.9115277449358752	0.5076314783429243	0.07363147834292505	3.6996	1.28	2.986250913906365
3.9218067452585927	2.935564340043719	2.5119927958997197	2.1179927958997187	3.7206	0.9259999999999999	3.0143838837104022
2.4311979749304307	1.6280065475284724	1.3228691883140478	1.0018691883140463	3.7649	1.101	2.946957262586519
3.230500986928071	2.3290683115918362	1.9718867937705387	1.613886793770539	3.7416	0.996	2.9159317771346296
0.3270171274916116	-0.8653559380097491	-1.5856333762847754	-2.1366333762847756	3.6498	1.08	2.847562891654672
3.3028588320970584	2.4306275733725053	2.040503877763701	1.6835038777637017	3.7425	0.9990000000000001	3.0359930675867624
2.1113988910714783	1.0784525169403754	0.5457094000639202	0.10370940006392004	3.6953	1.2819999999999998	3.091305168534939
3.6225924624764385	2.779621183558066	2.2817254757604806	1.9037254757604805	3.73	0.927	3.201437996951911
3.768256483584551	2.8315874481823675	2.3831412598790553	1.994141259879055	3.7237	0.935	2.927037267506727
3.9758718334960026	2.950072051782291	2.5624239988155164	2.167423998815517	3.7195	0.922	3.0527047311191198
2.511818511707519	1.7189547523094753	1.3883910765990226	1.0633910765990224	3.7619	1.083	2.8858796472867874
3.737823977621904	2.7493901037498887	2.3545182133639537	1.9705182133639543	3.7265	0.9440000000000001	2.9682716399273783
3.948002876637286	2.8955342968511992	2.53141601953406	2.1394160195340604	3.7213	0.9279999999999999	3.0639607945657175
4.016753075335574	2.962335910534179	2.5381225285975137	2.1311225285975137	3.7136	0.905	2.8524924639366223
3.6947063245112926	2.8583373197552806	2.3696652722911846	1.9926652722911848	3.7304	0.9570000000000001	3.1112367098258797
3.326636571418156	2.396061091052659	2.032927849340144	1.6679278493401446	3.7376	0.955	3.181160416673913
2.3383991423610695	1.5755423225245986	1.1274224388825473	0.7764224388825474	3.7465	1.032	2.908603268236549
1.578757626293502	0.8028242917995181	0.5491981929966299	0.24619819299662993	3.7752	1.2109999999999999	2.933861706213453
3.4736458015776233	2.6342410808573895	2.1211827374838244	1.7401827374838241	3.7284	0.922	2.912302932346869
3.888246767712161	3.066283351663227	2.4771901147531388	2.0781901147531388	3.7179	0.89	3.0355544189061545
3.91637092895488	3.080884579830526	2.488514379851379	2.0905143798513794	3.7183	0.8909999999999999	3.064099584715828
2.816226155899953	2.0012179854090473	1.6754220153885786	1.3424220153885784	3.7574	1.0590000000000002	3.0795297436233655
2.6329473819160594	1.8529554770560983	1.3924612362220277	1.0414612362220268	3.7465	1.006	2.9099950299485324
3.4041850294453155	2.5244823424179925	2.066424990673675	1.6924249906736755	3.7326	0.9359999999999999	3.001131312697658
4.3521880693249635	3.290772933290002	2.8269266806081905	2.4059266806081903	3.7059	0.883	3.0351861802055473
2.649232074284784	1.8997165455101062	1.4248997350286654	1.0748997350286658	3.7472	1.016	3.0858864892702376
4.156666271114762	3.2431129311100566	2.668413706567237	2.251413706567237	3.7074	0.862	2.970863795850645
3.320596111169479	2.518628429085296	2.000738072573017	1.6287380725730172	3.7333	0.938	2.941356155980646
1.7454304421938067	0.978056702650445	0.666067696279578	0.35006769627957723	3.7675	1.228	3.042380573095665
2.508808235204386	1.764138589836449	1.2901159309784518	0.9401159309784521	3.7472	1.016	2.9108725201292294
1.5613902501722272	0.7600660315404371	0.530849632221237	0.22684963222123677	3.7747	1.217	2.957807640387329
2.341169175643113	1.3350719856708295	0.6873181986208472	0.22231819862084734	3.6842	1.069	2.9017743650310712
2.894542434933248	2.0351370850476753	1.7230240237224024	1.3900240237224022	3.7573	1.0590000000000002	3.1405434385619335
4.103624630093599	3.0827525372420954	2.6247898669390928	2.213789866939093	3.711	0.897	2.898397679925636
1.9349375002773517	1.184712422587153	0.8732144705886817	0.5582144705886822	3.768	1.188	2.970591226970769
1.7259660990468175	0.9497905572857261	0.6371680699184568	0.31416806991845725	3.7629	1.252	3.114824729181655
3.300349942544088	2.5177955555476954	2.049353717477034	1.6943537174770347	3.7439	1.004	3.0979238879801976
3.9867735116450227	3.104402979067409	2.5458209547520694	2.14282095475207	3.7154	0.883	3.050451967366149
